match,teamInnings,battingPos,runs,balls,4s,6s,SR,batsmanName,out/not_out,match_id
Namibia Vs Sri Lanka,Namibia,1,3,6,0,0,50.00,Michael van Lingen,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,2,9,9,1,0,100.00,Divan la Cock,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,3,20,12,1,2,166.66,Jan Nicol Loftie-Eaton,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,4,26,24,2,0,108.33,Stephan Baard,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,5,20,24,0,0,83.33,Gerhard Erasmus(c),out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,6,44,28,4,0,157.14,Jan Frylinck,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,7,0,1,0,0,0.00,David Wiese,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,8,31,16,2,2,193.75,JJ Smit,not out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,1,9,10,1,0,90.00,Pathum Nissanka,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,2,6,6,0,0,100.00,Kusal Mendis,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,3,12,11,1,0,109.09,Dhananjaya de Silva,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,4,0,1,0,0,0.00,Danushka Gunathilaka,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,5,20,21,2,0,95.23,Bhanuka Rajapaksa,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,6,29,23,2,1,126.08,Dasun Shanaka(c),out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,7,4,8,0,0,50.00,Wanindu Hasaranga de Silva,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,8,5,8,0,0,62.50,Chamika Karunaratne,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,9,0,0,0,0,-,Pramod Madushan,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,10,8,15,0,0,53.33,Dushmantha Chameera,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,11,11,11,0,1,100.00,Maheesh Theekshana,not out,T20I # 1823
U.A.E. Vs Netherlands,U.A.E.,1,12,20,1,0,60.00,Chirag Suri,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,2,41,47,1,2,87.23,Muhammad Waseem,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,3,15,14,0,1,107.14,Kashif Daud,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,4,18,21,0,0,85.71,Vriitya Aravind,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,5,2,4,0,0,50.00,Zawar Farid,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,6,4,4,1,0,100.00,Basil Hameed,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,7,1,2,0,0,50.00,Chundangapoyil Rizwan(c),out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,8,5,7,0,0,71.42,Aayan Afzal Khan,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,9,0,0,0,0,-,Karthik Meiyappan,not out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,10,0,1,0,0,0.00,Junaid Siddique,not out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,1,10,7,2,0,142.85,Vikramjit Singh,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,2,23,18,3,1,127.77,Max O'Dowd,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,3,14,18,1,0,77.77,Bas de Leede,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,4,17,19,1,0,89.47,Colin Ackermann,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,5,8,16,0,0,50.00,Tom Cooper,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,6,16,19,0,0,84.21,Scott Edwards(c),not out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,7,0,2,0,0,0.00,Roelof van der Merwe,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,8,15,16,0,0,93.75,Tim Pringle,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,9,4,4,0,0,100.00,Logan van Beek,not out,T20I # 1825
Scotland Vs West Indies,Scotland,1,66,53,9,0,124.52,George Munsey,not out,T20I # 1826
Scotland Vs West Indies,Scotland,2,20,17,3,0,117.64,Michael Jones,out,T20I # 1826
Scotland Vs West Indies,Scotland,3,3,5,0,0,60.00,Matthew Cross,out,T20I # 1826
Scotland Vs West Indies,Scotland,4,16,14,0,1,114.28,Richie Berrington(c),out,T20I # 1826
Scotland Vs West Indies,Scotland,5,23,14,4,0,164.28,Calum MacLeod,out,T20I # 1826
Scotland Vs West Indies,Scotland,6,4,6,0,0,66.66,Michael Leask,out,T20I # 1826
Scotland Vs West Indies,Scotland,7,16,11,2,0,145.45,Chris Greaves,not out,T20I # 1826
Scotland Vs West Indies,West Indies,1,20,13,3,1,153.84,Kyle Mayers,out,T20I # 1826
Scotland Vs West Indies,West Indies,2,14,13,1,1,107.69,Evin Lewis,out,T20I # 1826
Scotland Vs West Indies,West Indies,3,17,15,3,0,113.33,Brandon King,out,T20I # 1826
